"department _number","department_title","employment_type","ethnicity","gender","job_num","job_status","job_title","mou","mou_title","pay_year","record_num","benefit_pay","retirement_contributions","other_pay","overtime_pay","regular_pay","total_pay"
70,"POLICE","FULL_TIME","HISPANIC","MALE",2262-01,"NOT_ACTIVE","POLICE DEPUTY CHIEF I",25,"POLICE OFFICERS, CAPTAIN. AND ABOVE",2014,3.630343434E+09,14942.88,108742.63,5761,0,232108.07,237869.07
40,"GENERAL SERVICES","PART_TIME","BLACK","MALE",*,"NOT_ACTIVE","SECURITY OFFICER",18,"SAFETY / SECURITY",2014,3.93431363031E+11,0,0,0,0,408.09,408.09
70,"POLICE","FULL_TIME","BLACK","MALE",2223-02,"NOT_ACTIVE","POLICE DETECTIVE II",24,"POLICE OFFICERS, LIEUTENANT AND BELOW",2019,3.735393732E+09,0,0,152.08,0,0,152.08
4,"AIRPORTS","FULL_TIME","BLACK","FEMALE",1427-02,"NOT_ACTIVE","COMPUTER OPERATOR II",21,"TECHNICAL",2014,3.232313135E+09,5516.64,16559.25,1413.6,878.9,55830.24,58122.74
88,"RECREATION AND PARKS","PART_TIME","OTHER","MALE",2418-01,"ACTIVE","ASSISTANT PARK SERVICES ATTENDANT I",3,"CLERICAL",2022,3.03338323334E+11,0,0,500,0,4406.16,4906.16
88,"RECREATION AND PARKS","PART_TIME","OTHER","MALE",*,"NOT_ACTIVE","RECREATION ASSISTANT",7,"RECREATION ASSISTANTS",2014,3.736353538E+09,0,0,655.4,0,13148.37,13803.77
82,"PUBLIC WORKS - SANITATION","FULL_TIME","CAUCASIAN","FEMALE",*,"ACTIVE","ADMINISTRATIVE CLERK",3,"CLERICAL",2019,3.539313837E+09,7654.08,16304.46,1262.88,0,54971.2,56234.08
42,"HARBOR","FULL_TIME","BLACK","MALE",*,"ACTIVE","HARBOR ENGINEER I",36,"MANAGEMENT EMPLOYEES",2019,3.530363432E+09,19398,48249.46,3709.44,0,162675.2,166384.64
88,"RECREATION AND PARKS","PART_TIME","HISPANIC","FEMALE",*,"NOT_ACTIVE","RECREATION ASSISTANT",7,"RECREATION ASSISTANTS",2014,3.236323837E+09,2275.9,0,0,0,5810.12,5810.12
38,"FIRE","FULL_TIME","CAUCASIAN","MALE",2112-03,"ACTIVE","FIREFIGHTER III",23,"FIREFIGHTERS AND FIRE CAPTAINS",2013,3.53230323033E+11,8303.04,39592.03,4396,52554.68,84508.06,141458.74
